team1,team2,venue,city,toss_winner,toss_decision,winner
Netherlands,Pakistan,Perth Stadium,Perth,Netherlands,bat,Pakistan
India,South Africa,Perth Stadium,Perth,India,bat,South Africa
Australia,Ireland,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Ireland,field,Australia
England,New Zealand,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,England,bat,England
Zimbabwe,Netherlands,Adelaide Oval,Adelaide,Zimbabwe,bat,Netherlands
India,Bangladesh,Adelaide Oval,Adelaide,Bangladesh,field,India
Pakistan,South Africa,Sydney Cricket Ground,Sydney,Pakistan,bat,Pakistan
New Zealand,Ireland,Adelaide Oval,Adelaide,Ireland,field,New Zealand
Sri Lanka,England,Sydney Cricket Ground,Sydney,Sri Lanka,bat,England
Netherlands,South Africa,Adelaide Oval,Adelaide,South Africa,field,Netherlands
Bangladesh,Pakistan,Adelaide Oval,Adelaide,Bangladesh,bat,Pakistan
India,Zimbabwe,Melbourne Cricket Ground,Melbourne,India,bat,India
New Zealand,Pakistan,Sydney Cricket Ground,Sydney,New Zealand,bat,Pakistan
India,England,Adelaide Oval,Adelaide,England,field,England
Pakistan,England,Melbourne Cricket Ground,Melbourne,England,field,England
Welsh Fire,Southern Brave,"The Rose Bowl, Southampton",Southampton,Southern Brave,field,Southern Brave
London Spirit,Oval Invincibles,"Kennington Oval, London",London,Oval Invincibles,field,London Spirit
Manchester Originals,Northern Superchargers,"Old Trafford, Manchester",Manchester,Northern Superchargers,field,Northern Superchargers
Birmingham Phoenix,Trent Rockets,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,field,Trent Rockets
Oval Invincibles,Welsh Fire,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,field,Oval Invincibles
London Spirit,Manchester Originals,"Lord's, London",London,London Spirit,bat,London Spirit
Northern Superchargers,Trent Rockets,"Headingley, Leeds",Leeds,Trent Rockets,field,Trent Rockets
Birmingham Phoenix,Southern Brave,"Edgbaston, Birmingham",Birmingham,Southern Brave,field,Birmingham Phoenix
Northern Superchargers,Oval Invincibles,"Kennington Oval, London",London,Oval Invincibles,field,Oval Invincibles
London Spirit,Southern Brave,"The Rose Bowl, Southampton",Southampton,London Spirit,bat,London Spirit
Manchester Originals,Trent Rockets,"Old Trafford, Manchester",Manchester,Trent Rockets,field,Trent Rockets
Birmingham Phoenix,Welsh Fire,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,field,Birmingham Phoenix
Northern Superchargers,London Spirit,"Headingley, Leeds",Leeds,Northern Superchargers,bat,London Spirit
Southern Brave,Oval Invincibles,"Kennington Oval, London",London,Oval Invincibles,field,Oval Invincibles
Trent Rockets,Birmingham Phoenix,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,field,Birmingham Phoenix
Manchester Originals,Welsh Fire,"Old Trafford, Manchester",Manchester,Welsh Fire,field,Manchester Originals
Trent Rockets,Oval Invincibles,"Trent Bridge, Nottingham",Nottingham,Oval Invincibles,field,Trent Rockets
Manchester Originals,Southern Brave,"The Rose Bowl, Southampton",Southampton,Southern Brave,field,Manchester Originals
Northern Superchargers,Birmingham Phoenix,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,field,Northern Superchargers
London Spirit,Trent Rockets,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,field,Trent Rockets
Manchester Originals,Northern Superchargers,"Headingley, Leeds",Leeds,Northern Superchargers,field,Manchester Originals
Welsh Fire,Southern Brave,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,field,Southern Brave
Birmingham Phoenix,Oval Invincibles,"Kennington Oval, London",London,Oval Invincibles,field,Birmingham Phoenix
London Spirit,Welsh Fire,"Lord's, London",London,Welsh Fire,field,London Spirit
Trent Rockets,Southern Brave,"The Rose Bowl, Southampton",Southampton,Southern Brave,field,Southern Brave
Welsh Fire,Northern Superchargers,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,bat,Northern Superchargers
London Spirit,Oval Invincibles,"Lord's, London",London,London Spirit,bat,Oval Invincibles
Manchester Originals,Birmingham Phoenix,"Edgbaston, Birmingham",Birmingham,Manchester Originals,bat,Manchester Originals
Trent Rockets,Welsh Fire,"Trent Bridge, Nottingham",Nottingham,Welsh Fire,field,Trent Rockets
London Spirit,Birmingham Phoenix,"Lord's, London",London,Birmingham Phoenix,field,Birmingham Phoenix
Northern Superchargers,Southern Brave,"Headingley, Leeds",Leeds,Southern Brave,field,Northern Superchargers
Oval Invincibles,Manchester Originals,"Old Trafford, Manchester",Manchester,Oval Invincibles,bat,Manchester Originals
London Spirit,Manchester Originals,"The Rose Bowl, Southampton",Southampton,London Spirit,bat,Manchester Originals
Manchester Originals,Trent Rockets,"Lord's, London",London,Manchester Originals,bat,Trent Rockets
Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Nepal
Canada,Philippines,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,field,Canada
United Arab Emirates,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates
Germany,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,field,Bahrain
Canada,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman
Nepal,Philippines,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,field,Nepal
United Arab Emirates,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates
Ireland,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Ireland,bat,Ireland
Germany,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Ireland
Bahrain,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,bat,Bahrain
Canada,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,bat,Nepal
Philippines,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,bat,Oman
Germany,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,field,Canada
Bahrain,Philippines,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,bat,Bahrain
United Arab Emirates,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates
Ireland,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,field,Ireland
Bahrain,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,bat,Canada
Philippines,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Germany,field,Germany
Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,bat,Nepal
Ireland,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,bat,United Arab Emirates
Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,field,United Arab Emirates
Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,field,United Arab Emirates
United Arab Emirates,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,United Arab Emirates
Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Nepal
Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Ireland
United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman
Ireland,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Ireland
Boland,Western Province,"St George's Park, Port Elizabeth",Port Elizabeth,Boland,bat,Western Province
Warriors,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Titans,field,Warriors
North West,Lions,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,field,North West
Knights,Dolphins,"St George's Park, Port Elizabeth",Port Elizabeth,Knights,bat,Dolphins
Titans,Boland,"St George's Park, Port Elizabeth",Port Elizabeth,Boland,field,Titans
Warriors,Western Province,"St George's Park, Port Elizabeth",Port Elizabeth,Warriors,bat,Western Province
Knights,North West,"St George's Park, Port Elizabeth",Port Elizabeth,North West,field,North West
Lions,Dolphins,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,bat,Lions
Dolphins,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,Warriors,field,Dolphins
Titans,Knights,"St George's Park, Port Elizabeth",Port Elizabeth,Titans,bat,Titans
Lions,Western Province,"St George's Park, Port Elizabeth",Port Elizabeth,Western Province,field,Western Province
Dolphins,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Titans,field,Titans
Warriors,Knights,"St George's Park, Port Elizabeth",Port Elizabeth,Warriors,bat,Knights
Boland,Lions,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,field,Boland
Western Province,North West,"St George's Park, Port Elizabeth",Port Elizabeth,Western Province,bat,Western Province
Lions,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,bat,Titans
Warriors,Boland,"St George's Park, Port Elizabeth",Port Elizabeth,Warriors,bat,Boland
Knights,Western Province,"St George's Park, Port Elizabeth",Port Elizabeth,Western Province,field,Western Province
North West,Dolphins,"St George's Park, Port Elizabeth",Port Elizabeth,Dolphins,field,Dolphins
Western Province,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Titans,field,Titans
Lions,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,Warriors,field,Warriors
Boland,Dolphins,"St George's Park, Port Elizabeth",Port Elizabeth,Dolphins,field,Boland
Knights,Lions,"St George's Park, Port Elizabeth",Port Elizabeth,Knights,bat,Lions
Titans,North West,"St George's Park, Port Elizabeth",Port Elizabeth,North West,field,Titans
Knights,Boland,"St George's Park, Port Elizabeth",Port Elizabeth,Knights,bat,Knights
Dolphins,Western Province,"St George's Park, Port Elizabeth",Port Elizabeth,Western Province,field,Dolphins
North West,Warriors,"St George's Park, Port Elizabeth",Port Elizabeth,North West,bat,North West
Dolphins,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Titans,field,Titans
Western Province,Boland,"St George's Park, Port Elizabeth",Port Elizabeth,Western Province,bat,Boland
Boland,Titans,"St George's Park, Port Elizabeth",Port Elizabeth,Boland,bat,Boland
United Arab Emirates,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,United Arab Emirates
Netherlands,West Indies,"VRA Ground, Amstelveen",Amstelveen,West Indies,field,West Indies
Netherlands,West Indies,"VRA Ground, Amstelveen",Amstelveen,Netherlands,bat,West Indies
West Indies,Netherlands,"VRA Ground, Amstelveen",Amstelveen,West Indies,bat,West Indies
Oman,United Arab Emirates,"ICC Academy, Dubai",Dubai,United Arab Emirates,field,Oman
Namibia,Oman,"ICC Academy, Dubai",Dubai,Namibia,bat,Namibia
Namibia,United Arab Emirates,"ICC Academy, Dubai",Dubai,United Arab Emirates,field,United Arab Emirates
Oman,United Arab Emirates,"ICC Academy, Dubai",Dubai,Oman,bat,Oman
Namibia,Oman,Sharjah Cricket Stadium,Sharjah,Namibia,bat,Oman
United Arab Emirates,Namibia,Sharjah Cricket Stadium,Sharjah,Namibia,field,United Arab Emirates
Oman,Namibia,Dubai International Cricket Stadium,Dubai,Oman,bat,Namibia
Papua New Guinea,United Arab Emirates,Sharjah Cricket Stadium,Sharjah,Papua New Guinea,bat,United Arab Emirates
Papua New Guinea,Nepal,Sharjah Cricket Stadium,Sharjah,Papua New Guinea,bat,Nepal
United Arab Emirates,Nepal,Dubai International Cricket Stadium,Dubai,United Arab Emirates,bat,United Arab Emirates
United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,Dubai,United Arab Emirates,bat,Papua New Guinea
United Arab Emirates,Nepal,Dubai International Cricket Stadium,Dubai,Nepal,field,United Arab Emirates
Papua New Guinea,Nepal,Dubai International Cricket Stadium,Dubai,Nepal,field,Nepal
Ireland,India,"The Village, Malahide, Dublin",Dublin,India,field,India
India,Ireland,"The Village, Malahide, Dublin",Dublin,India,bat,India
Ireland,New Zealand,"The Village, Malahide, Dublin",Dublin,New Zealand,field,New Zealand
Ireland,New Zealand,"The Village, Malahide, Dublin",Dublin,New Zealand,field,New Zealand
New Zealand,Ireland,"The Village, Malahide, Dublin",Dublin,New Zealand,bat,New Zealand
New Zealand,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,New Zealand
New Zealand,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,New Zealand
Ireland,New Zealand,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,bat,New Zealand
South Africa,Ireland,"County Ground, Bristol",Bristol,South Africa,bat,South Africa
South Africa,Ireland,"County Ground, Bristol",Bristol,Ireland,field,South Africa
Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Punjab Kings,field,Punjab Kings
Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Sunrisers Hyderabad,field,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,Lucknow Super Giants,field,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Mumbai Indians,field,Rajasthan Royals
Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Pune,Delhi Capitals,field,Gujarat Titans
Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Punjab Kings
Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Lucknow Super Giants
Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,field,Kolkata Knight Riders
Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Lucknow Super Giants,field,Lucknow Super Giants
Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Pune,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Delhi Capitals
Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,field,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,field,Chennai Super Kings
Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Pune,Mumbai Indians,field,Punjab Kings
Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan Royals,field,Gujarat Titans
Kolkata Knight Riders,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians,field,Lucknow Super Giants
Royal Challengers Bangalore,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Royal Challengers Bangalore
Punjab Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,Gujarat Titans,field,Gujarat Titans
Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Lucknow Super Giants,field,Royal Challengers Bangalore
Punjab Kings,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
Mumbai Indians,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Chennai Super Kings,field,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Rajasthan Royals
Gujarat Titans,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Gujarat Titans,bat,Gujarat Titans
Royal Challengers Bangalore,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Lucknow Super Giants
Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,field,Punjab Kings
Rajasthan Royals,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Pune,Royal Challengers Bangalore,field,Rajasthan Royals
Sunrisers Hyderabad,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Delhi Capitals,field,Delhi Capitals
Lucknow Super Giants,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,Punjab Kings,field,Lucknow Super Giants
Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Gujarat Titans
Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai Indians,field,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,bat,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Sunrisers Hyderabad,field,Chennai Super Kings
Rajasthan Royals,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Gujarat Titans,bat,Punjab Kings
Royal Challengers Bangalore,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,Chennai Super Kings,field,Royal Challengers Bangalore
Delhi Capitals,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Delhi Capitals
Mumbai Indians,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,Gujarat Titans,field,Mumbai Indians
Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,field,Lucknow Super Giants
Royal Challengers Bangalore,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Delhi Capitals,field,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Mumbai Indians,field,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,Gujarat Titans,bat,Gujarat Titans
Rajasthan Royals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Delhi Capitals,field,Delhi Capitals
Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
Punjab Kings,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Pune,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Gujarat Titans
Rajasthan Royals,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,Rajasthan Royals,bat,Rajasthan Royals
Delhi Capitals,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Punjab Kings,field,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Sunrisers Hyderabad
Lucknow Super Giants,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Lucknow Super Giants,bat,Lucknow Super Giants
Gujarat Titans,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Gujarat Titans,bat,Royal Challengers Bangalore
Chennai Super Kings,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Rajasthan Royals
Delhi Capitals,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,bat,Punjab Kings
North-West Warriors,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Leinster Lightning,field,Leinster Lightning
Northern Knights,Munster Reds,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Munster Reds,field,Munster Reds
Leinster Lightning,Munster Reds,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Munster Reds,field,Munster Reds
Northern Knights,North-West Warriors,"Bready Cricket Club, Magheramason, Bready",Bready,North-West Warriors,field,Northern Knights
North-West Warriors,Munster Reds,"Mardyke, Cork",Cork,Munster Reds,field,North-West Warriors
Munster Reds,Northern Knights,"Mardyke, Cork",Cork,Munster Reds,bat,Munster Reds
North-West Warriors,Northern Knights,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Northern Knights,field,North-West Warriors
Leinster Lightning,Northern Knights,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Northern Knights,field,Leinster Lightning
Northern Knights,North-West Warriors,"The Green, Comber",Comber,North-West Warriors,field,North-West Warriors
Leinster Lightning,Munster Reds,"The Green, Comber",Comber,Munster Reds,field,Munster Reds
North-West Warriors,Leinster Lightning,"The Green, Comber",Comber,Leinster Lightning,field,North-West Warriors
Northern Knights,Munster Reds,"The Green, Comber",Comber,Munster Reds,field,Munster Reds
Munster Reds,North-West Warriors,"The Green, Comber",Comber,North-West Warriors,field,Munster Reds
Leinster Lightning,Northern Knights,"The Green, Comber",Comber,Northern Knights,field,Leinster Lightning
Northern Knights,North-West Warriors,"Bready Cricket Club, Magheramason, Bready",Bready,North-West Warriors,field,North-West Warriors
Munster Reds,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Leinster Lightning,field,Leinster Lightning
North-West Warriors,Northern Knights,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,North-West Warriors,bat,Northern Knights
Northern Knights,Munster Reds,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Munster Reds,field,Northern Knights
Leinster Lightning,North-West Warriors,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,North-West Warriors,field,Leinster Lightning
North-West Warriors,Munster Reds,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,North-West Warriors,bat,Munster Reds
Northern Knights,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Northern Knights,bat,Leinster Lightning
Papua New Guinea,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Papua New Guinea
Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,bat,Papua New Guinea
Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal
Malaysia,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,bat,Malaysia
Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,bat,Nepal
Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal
Malaysia,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Papua New Guinea
Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,field,Nepal
Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal
Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Colombo,Australia,field,Australia
Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Colombo,Australia,field,Australia
Australia,Sri Lanka,Pallekele International Cricket Stadium,Kandy,Australia,bat,Sri Lanka
Sri Lanka,Australia,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,Australia
Sri Lanka,Australia,Pallekele International Cricket Stadium,Kandy,Australia,field,Sri Lanka
Australia,Sri Lanka,"R Premadasa Stadium, Colombo",Colombo,Australia,bat,Sri Lanka
Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Colombo,Australia,field,Sri Lanka
Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Colombo,Sri Lanka,bat,Australia
Sri Lanka,Australia,Galle International Stadium,Galle,Sri Lanka,bat,Australia
Australia,Sri Lanka,Galle International Stadium,Galle,Australia,bat,Sri Lanka
New Zealand,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,field,New Zealand
New Zealand,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,New Zealand,bat,New Zealand
Scotland,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,bat,New Zealand
Scotland,Papua New Guinea,Dubai International Cricket Stadium,Dubai,Papua New Guinea,field,Scotland
